Date,Average_Players
2025-05-06,1545603.0
2025-05-07,1691216.0
2025-05-08,1640423.0
2025-05-09,1669491.0
2025-05-10,1684061.0
2025-05-11,1660219.0
2025-05-12,1530261.0
2025-05-13,1548090.0
2025-05-14,1689405.0
2025-05-15,1573711.0
2025-05-16,1648396.0
2025-05-17,1700038.0
2025-05-18,1692016.0
2025-05-19,1621288.0
2025-05-20,1566374.0
2025-05-21,1663831.0
2025-05-22,1654387.0
2025-05-23,1719292.0
2025-05-24,1722301.0
2025-05-25,1691941.0
2025-05-26,1571409.0
2025-05-27,1606237.0
2025-05-28,1692166.0
2025-05-29,1636709.0
2025-05-30,1631776.0
2025-05-31,1547936.0
2025-06-01,1578694.0
2025-06-02,1497388.0
2025-06-03,1543256.0
2025-06-04,1664047.0
2025-06-05,1617900.0
2025-06-06,1636311.0
2025-06-07,1718203.0
2025-06-08,1666283.0
2025-06-09,1617896.0
2025-06-10,1578693.0
2025-06-11,1732079.0
2025-06-12,1602635.0
2025-06-13,1600791.0
2025-06-14,1631909.0
2025-06-15,1621013.0
2025-06-16,1553991.0
2025-06-17,1530442.0
2025-06-18,1622443.0
2025-06-19,1547159.0
2025-06-20,1550282.0
2025-06-21,1559679.0
2025-06-22,1584464.0
2025-06-23,1444926.0
2025-06-24,1443478.0
2025-06-25,1570532.0
2025-06-26,1465953.0
2025-06-27,1479775.0
2025-06-28,1457477.0
2025-06-29,1463795.0
2025-06-30,1359901.0
2025-07-01,1363619.0
2025-07-02,1427970.0
2025-07-03,1392864.0
2025-07-04,1363137.0
2025-07-05,1394283.0
2025-07-06,1424518.0
2025-07-07,1316550.0
2025-07-08,1324912.0
2025-07-09,1415636.0
2025-07-10,1354959.0
2025-07-11,1295904.0
2025-07-12,1326873.0
2025-07-13,1366769.0
2025-07-14,1287998.0
2025-07-15,1274843.0
2025-07-16,1385529.0
2025-07-17,1334627.0
2025-07-18,1287216.0
2025-07-19,1271662.0
2025-07-20,1305403.0
2025-07-21,1301624.0
2025-07-22,1301950.0
2025-07-23,1433826.0
2025-07-24,1346164.0
2025-07-25,1350040.0
2025-07-26,1309341.0
2025-07-27,1366269.0
2025-07-28,1291036.0
2025-07-29,1250081.0
2025-07-30,1412846.0
2025-07-31,1316325.0
2025-08-01,1263878.0
2025-08-02,1255626.0
2025-08-03,1333049.0
2025-08-04,1298608.0
2025-08-05,1295851.0
2025-08-06,1389306.0
2025-08-07,1326168.0
2025-08-08,1296612.0
2025-08-09,1293633.0
2025-08-10,1333518.0
2025-08-11,1282394.0
2025-08-12,1235446.0
2025-08-13,1372657.0
2025-08-14,1291475.0
2025-08-15,1306994.0
2025-08-16,1338399.0
2025-08-17,1390163.0
2025-08-18,1344239.0
2025-08-19,1343689.0
2025-08-20,1411898.0
2025-08-21,1378344.0
2025-08-22,1383087.0
2025-08-23,1397611.0
2025-08-24,1491473.0
2025-08-25,1403634.0
2025-08-26,1392601.0
2025-08-27,1505419.0
2025-08-28,1427565.0
2025-08-29,1405821.0
2025-08-30,1483297.0
2025-08-31,1468696.0
2025-09-01,1371610.0
2025-09-02,1364584.0
2025-09-03,977188.4166666666
2025-09-04,921586.0
2025-09-05,968754.75
2025-09-06,1059360.4166666667
2025-09-07,1028440.5833333334
2025-09-08,907052.1666666666
2025-09-09,906612.2083333334
2025-09-10,979938.4166666666
2025-09-11,952497.4166666666
2025-09-12,1000933.4583333334
2025-09-13,1067011.2727272727
2025-09-14,1041801.1666666666
2025-09-15,913881.7916666666
2025-09-16,909150.4583333334
2025-09-17,1015573.4166666666
2025-09-18,961589.75
2025-09-19,987239.9583333334
2025-09-20,1063810.125
2025-09-21,1041343.6666666666
2025-09-22,907577.7083333334
2025-09-23,919477.125
2025-09-24,1005000.1666666666
2025-09-25,925940.0416666666
2025-09-26,971937.2448979592
2025-09-27,997331.4583333334
2025-09-28,969420.8402777778
2025-09-29,870135.5625
2025-09-30,874978.3819444445
2025-10-01,967872.9444444445
2025-10-02,917934.6388888889
2025-10-03,937028.188034188
